Study Hours,Sleep Hours,Last Exam,Internet Access,Academy,Family Income,CoCurricular,Stress Level,Health,Percentage
28.85,5.95,100.0,No,Yes,Moderate,High,Low,Average,100.0
13.91,6.23,95.92,Yes,Yes,Low,High,Moderate,Average,76.14
14.36,7.91,68.4,Yes,No,Moderate,Moderate,Low,Average,68.98
20.97,8.04,59.21,Yes,No,Moderate,Low,High,Average,61.43
25.22,7.72,72.92,Yes,Yes,Moderate,Moderate,Moderate,Average,84.27
5.17,5.74,67.3,Yes,No,Moderate,High,Low,Average,56.99
4.28,6.46,63.98,No,Yes,Moderate,Moderate,Moderate,Good,44.71
11.27,7.19,45.13,Yes,Yes,High,Low,Moderate,Poor,50.29
18.5,5.98,62.28,Yes,No,Low,High,Moderate,Good,62.04
17.98,8.65,53.34,Yes,Yes,High,High,Moderate,Average,74.73
21.42,4.12,78.27,Yes,Yes,Moderate,Moderate,Moderate,Average,77.17
7.8,6.07,84.87,Yes,Yes,Moderate,High,High,Good,73.29
1.1,6.39,81.11,Yes,Yes,Low,Low,Low,Average,49.76
20.15,3.59,75.14,Yes,Yes,Low,Moderate,Moderate,Average,69.24
10.03,5.32,57.21,Yes,Yes,Moderate,Low,Moderate,Average,49.75
2.89,7.75,73.08,Yes,Yes,Moderate,Moderate,Moderate,Average,51.08
15.87,7.04,81.89,Yes,Yes,Low,High,High,Poor,62.72
19.76,8.89,61.21,Yes,Yes,High,High,Moderate,Good,88.92
14.27,8.85,71.78,Yes,No,High,Moderate,Moderate,Good,71.47
12.25,7.52,67.82,Yes,Yes,Moderate,Moderate,Moderate,Average,68.79
14.04,7.38,94.94,Yes,Yes,Moderate,High,Moderate,Average,77.88
12.78,7.08,82.77,Yes,No,Low,Moderate,Moderate,Average,59.83
6.91,3.81,79.14,Yes,Yes,Moderate,Low,Low,Good,55.09
10.71,5.33,44.25,Yes,No,Moderate,Low,Moderate,Good,43.9
18.13,7.12,72.59,Yes,Yes,Moderate,High,High,Average,68.37
16.93,7.74,67.67,Yes,No,Moderate,Moderate,Moderate,Good,65.36
16.01,7.35,67.55,Yes,Yes,High,Low,Moderate,Good,69.52
9.03,5.93,46.55,Yes,No,Moderate,Moderate,Low,Good,38.44
13.91,8.12,53.68,Yes,Yes,Moderate,High,Low,Poor,62.49
1.94,8.78,68.98,Yes,No,Moderate,Low,High,Good,43.5
16.07,8.13,86.72,No,No,Low,Low,Moderate,Average,66.31
23.57,8.19,61.14,No,No,High,High,High,Average,69.44
6.16,6.33,64.0,Yes,Yes,Moderate,Low,Low,Average,59.02
11.48,8.29,96.72,Yes,Yes,Moderate,High,Moderate,Good,70.42
16.97,7.17,65.55,Yes,Yes,Low,Low,High,Average,65.27
22.52,7.61,68.07,Yes,Yes,Moderate,Low,Moderate,Average,69.85
12.31,7.44,68.27,Yes,No,Moderate,High,Low,Good,65.45
10.85,6.85,49.82,No,Yes,Moderate,Low,Low,Average,52.36
3.19,5.97,78.58,Yes,No,Moderate,Low,Low,Good,63.7
15.62,6.9,60.21,Yes,Yes,High,Moderate,Low,Average,73.83
27.25,8.18,69.55,Yes,Yes,Low,Moderate,Moderate,Good,74.52
16.66,6.47,76.67,Yes,Yes,Low,Moderate,Moderate,Average,70.05
14.87,8.07,99.14,Yes,Yes,High,Moderate,High,Average,75.44
16.93,7.88,50.23,Yes,Yes,Low,Moderate,Low,Average,75.67
14.93,6.64,82.97,No,Yes,High,High,High,Average,70.1
10.12,8.67,83.03,Yes,Yes,Low,Low,Moderate,Average,68.76
19.94,6.57,60.43,Yes,No,Moderate,Moderate,Low,Good,69.55
16.35,8.81,78.99,Yes,Yes,High,Moderate,Low,Average,77.32
15.11,7.52,94.65,Yes,No,Moderate,Low,Moderate,Average,74.81
9.15,6.98,58.53,Yes,No,Moderate,Moderate,Low,Average,50.94
22.82,5.93,73.62,Yes,Yes,Low,Low,Low,Average,79.01
18.99,6.89,76.07,Yes,No,Low,Moderate,Low,Poor,67.08
11.68,6.76,78.01,Yes,No,High,Low,Moderate,Good,67.75
21.01,5.49,81.54,Yes,Yes,High,Moderate,Low,Good,91.86
12.01,6.74,72.49,Yes,Yes,Low,Low,Low,Good,65.31
10.31,6.04,77.7,Yes,No,High,Moderate,Low,Good,67.07
10.44,7.7,56.33,Yes,Yes,Moderate,Low,Low,Average,54.51
4.37,8.57,72.46,Yes,No,Moderate,Moderate,Low,Poor,49.33
17.83,5.53,62.85,Yes,Yes,Low,Low,Moderate,Average,65.37
4.01,9.05,51.55,Yes,Yes,Moderate,Moderate,Low,Average,49.25
7.63,6.85,62.36,Yes,Yes,Moderate,Moderate,Low,Average,50.92
2.55,5.83,74.04,No,Yes,Moderate,Low,Low,Poor,39.94
14.48,7.91,76.54,Yes,No,Moderate,Moderate,Low,Good,78.73
14.1,6.46,50.97,Yes,Yes,Moderate,High,Moderate,Average,57.57
13.04,6.9,55.93,No,Yes,Low,Moderate,Moderate,Poor,34.51
8.74,6.51,80.87,Yes,Yes,Low,Low,Moderate,Average,61.72
7.97,6.02,77.62,Yes,Yes,Low,Moderate,High,Average,49.61
17.79,7.87,83.31,Yes,No,High,High,Low,Average,88.14
11.7,6.66,90.52,Yes,Yes,High,Moderate,Low,Good,76.69
16.9,5.28,78.07,Yes,No,High,Moderate,Moderate,Average,73.47
9.69,7.66,63.78,Yes,Yes,Low,Moderate,Low,Average,60.7
16.09,5.55,71.72,Yes,Yes,High,High,Moderate,Good,71.13
22.82,5.62,94.9,Yes,No,Low,Low,High,Poor,65.64
18.52,8.43,100.0,Yes,Yes,Moderate,Moderate,Moderate,Poor,77.23
12.53,5.56,76.95,No,Yes,Moderate,High,Low,Good,68.6
16.54,4.22,78.03,Yes,Yes,Low,Moderate,Moderate,Average,63.86
13.56,7.75,80.89,Yes,Yes,Moderate,Low,Moderate,Good,72.53
15.05,6.64,70.36,Yes,Yes,Moderate,High,Moderate,Average,70.79
13.05,6.74,87.46,Yes,Yes,Moderate,Low,Low,Average,71.06
14.01,6.62,85.12,Yes,No,Moderate,Moderate,Moderate,Average,66.72
16.27,7.28,75.32,No,No,Moderate,Low,Low,Poor,59.51
9.04,6.1,65.23,No,Yes,Moderate,High,Low,Average,57.5
8.9,8.77,47.19,Yes,Yes,Moderate,Low,Moderate,Good,62.52
6.67,5.23,80.99,No,No,High,High,Low,Poor,51.3
5.4,7.53,73.19,No,Yes,High,Moderate,Low,Average,59.17
7.7,7.77,58.93,Yes,Yes,High,Moderate,Low,Poor,61.71
15.96,6.09,53.05,Yes,Yes,Moderate,Low,Moderate,Average,55.73
9.64,5.77,79.92,Yes,Yes,High,Moderate,Low,Average,75.6
18.08,8.22,45.98,Yes,Yes,Moderate,Low,Moderate,Good,61.66
15.21,5.81,74.49,Yes,No,Low,High,Moderate,Good,69.84
3.19,6.27,82.65,Yes,Yes,Low,Moderate,Moderate,Good,47.58
18.93,8.06,78.25,Yes,No,Moderate,Moderate,Moderate,Poor,74.84
19.86,7.04,64.14,Yes,Yes,Moderate,High,Moderate,Average,70.85
9.04,4.84,51.26,Yes,No,High,Low,High,Average,31.25
17.52,9.1,78.81,Yes,Yes,High,Moderate,Low,Good,94.15
9.86,6.36,88.01,Yes,No,Moderate,Low,High,Poor,55.48
15.59,6.52,61.41,Yes,No,Low,Low,Moderate,Average,54.98
7.41,7.31,77.6,Yes,Yes,Moderate,Moderate,High,Average,54.14
4.24,7.75,93.72,Yes,Yes,Moderate,Low,Moderate,Poor,55.84
12.7,9.35,75.08,Yes,Yes,Low,Moderate,Moderate,Poor,61.14
14.26,5.01,64.05,Yes,No,Moderate,Low,Moderate,Average,55.07
12.61,7.99,85.61,Yes,No,Low,Low,Low,Average,67.85
7.9,7.89,58.94,No,Yes,Moderate,Moderate,High,Average,55.57
12.6,6.84,50.53,Yes,Yes,Moderate,Moderate,Moderate,Good,47.02
16.62,7.94,82.18,Yes,Yes,Moderate,Low,High,Average,61.03
14.73,8.12,63.91,Yes,Yes,Moderate,Moderate,Low,Average,71.52
16.1,5.34,65.25,Yes,Yes,Low,Moderate,High,Good,46.94
10.98,9.1,60.6,Yes,Yes,Low,Moderate,High,Average,51.59
22.03,5.13,62.91,Yes,Yes,Low,Moderate,Low,Poor,63.52
7.94,5.64,91.05,Yes,No,Low,High,Low,Average,62.29
17.93,6.69,94.94,Yes,Yes,High,Moderate,Moderate,Average,80.77
22.09,9.31,96.92,Yes,Yes,Moderate,Moderate,Moderate,Average,91.92
17.89,6.63,86.35,Yes,Yes,Low,Low,Moderate,Average,69.4
13.78,6.96,76.99,Yes,No,High,Low,High,Good,60.72
11.83,8.72,48.52,Yes,No,Moderate,Moderate,Moderate,Average,53.51
21.22,6.64,67.19,Yes,Yes,Low,High,Low,Poor,75.21
6.46,5.59,100.0,No,No,Moderate,Low,High,Good,58.9
9.18,6.5,63.47,Yes,No,Moderate,Low,Moderate,Average,52.76
12.61,8.64,92.71,Yes,No,Moderate,Moderate,Moderate,Average,79.94
22.43,7.09,70.83,Yes,No,Moderate,Low,Moderate,Average,76.15
17.28,9.32,29.83,Yes,Yes,Low,Moderate,High,Average,55.73
9.19,7.89,79.61,Yes,Yes,High,Low,High,Average,60.5
13.14,6.23,88.99,No,No,Moderate,High,Low,Good,74.8
11.31,7.06,69.27,Yes,No,Moderate,High,Low,Average,74.18
10.74,5.98,88.5,Yes,Yes,High,Low,Low,Good,75.16
20.87,6.2,44.98,Yes,Yes,Moderate,Low,High,Average,65.45
6.77,11.0,49.22,Yes,Yes,Moderate,High,Moderate,Good,58.69
24.65,8.22,73.07,Yes,Yes,High,Moderate,Low,Good,87.74
19.97,8.03,77.16,Yes,Yes,High,High,Moderate,Good,88.07
21.55,6.25,90.35,No,Yes,Moderate,Moderate,Moderate,Average,82.38
12.22,8.88,79.58,Yes,No,Moderate,Low,Low,Poor,70.4
14.1,8.32,52.1,No,No,Moderate,Moderate,Low,Poor,50.56
6.4,9.26,73.2,Yes,No,Moderate,High,Low,Average,81.38
11.85,9.2,79.01,Yes,Yes,Moderate,Low,Moderate,Average,74.34
17.96,5.23,41.89,Yes,No,Low,Moderate,Moderate,Average,58.39
22.78,5.67,69.35,Yes,Yes,High,Moderate,Moderate,Good,86.5
8.36,5.8,64.97,No,Yes,Low,Low,Moderate,Average,40.75
12.81,5.87,60.18,Yes,No,Low,Moderate,Moderate,Good,53.75
14.09,7.39,77.48,Yes,Yes,Moderate,Moderate,Moderate,Poor,68.24
6.63,6.32,52.75,No,Yes,Moderate,Low,High,Average,28.19
18.55,9.49,76.25,Yes,No,Moderate,Moderate,Moderate,Average,75.03
10.66,9.29,78.39,Yes,No,Moderate,Moderate,Low,Poor,62.53
13.83,6.99,86.26,Yes,No,Moderate,Moderate,High,Average,68.86
12.29,9.35,53.15,Yes,Yes,Moderate,Low,Low,Average,57.55
10.26,8.79,47.42,Yes,Yes,Moderate,High,Moderate,Average,66.23
14.96,6.46,74.18,Yes,Yes,Moderate,Low,High,Good,81.86
13.71,4.59,65.71,Yes,Yes,High,Moderate,High,Good,63.27
12.77,6.74,100.0,Yes,No,Moderate,Moderate,Moderate,Average,79.5
10.63,6.23,76.88,Yes,No,Moderate,High,Low,Average,67.38
16.92,7.25,70.87,Yes,No,Moderate,Low,Moderate,Average,65.07
24.92,7.11,67.41,Yes,Yes,Low,Low,High,Average,68.45
15.84,7.08,51.73,Yes,No,Low,Low,High,Good,55.9
20.98,7.63,78.46,Yes,No,High,Moderate,High,Average,74.21
6.66,5.54,68.81,Yes,Yes,Moderate,Moderate,Low,Average,59.56
15.95,7.49,68.83,Yes,Yes,Low,Low,High,Good,60.72
8.42,6.47,71.42,No,No,Moderate,Moderate,Moderate,Average,51.94
6.14,7.24,73.32,Yes,Yes,Moderate,Low,High,Good,49.28
10.56,8.15,43.91,Yes,No,Low,Low,Moderate,Good,44.45
22.15,5.53,82.56,Yes,Yes,Moderate,Low,Moderate,Average,86.43
20.7,6.66,57.3,No,Yes,Low,High,Moderate,Average,62.66
16.46,6.86,67.93,Yes,No,Moderate,Moderate,Moderate,Average,64.17
5.8,6.38,89.29,Yes,No,Moderate,Low,Low,Poor,52.68
13.82,8.08,96.69,Yes,No,Moderate,Moderate,High,Average,69.44
16.81,6.14,44.49,Yes,No,High,Low,High,Average,53.52
16.05,6.33,70.45,No,No,Low,Moderate,Moderate,Good,51.54
3.94,6.15,74.09,Yes,No,Moderate,Low,Low,Average,54.68
9.66,8.31,47.39,Yes,No,Moderate,Moderate,Low,Average,55.37
14.62,6.41,82.04,Yes,No,Moderate,High,Low,Average,77.66
18.22,7.55,71.74,Yes,Yes,Moderate,Low,Moderate,Average,79.09
1.82,9.37,72.91,Yes,Yes,Moderate,Moderate,Low,Average,56.5
14.03,6.91,56.24,Yes,No,Moderate,Moderate,High,Good,57.49
15.86,8.33,76.19,Yes,No,Low,High,Moderate,Average,73.25
20.1,9.01,82.57,Yes,No,Low,High,Moderate,Poor,69.8
19.16,8.23,71.91,Yes,Yes,High,Low,High,Good,75.53
18.5,6.98,62.29,Yes,Yes,Moderate,High,Low,Good,82.12
10.2,7.77,63.46,Yes,Yes,Moderate,Moderate,High,Good,61.99
3.55,5.46,73.31,Yes,Yes,High,High,High,Average,60.46
12.64,6.06,70.73,Yes,No,Moderate,Low,Moderate,Good,61.79
21.01,6.27,83.57,Yes,No,Moderate,Low,Low,Average,86.32
23.36,9.69,62.8,Yes,Yes,Low,Low,Low,Good,83.3
19.26,6.02,51.72,Yes,Yes,Low,Low,Low,Average,57.93
17.58,6.01,75.39,Yes,No,Moderate,High,Low,Good,78.22
17.28,5.75,62.84,Yes,No,Moderate,Low,Moderate,Average,61.3
11.66,7.67,81.76,Yes,Yes,Moderate,Low,Low,Average,67.9
14.22,7.17,70.11,Yes,Yes,Low,Low,Low,Average,59.91
25.01,8.3,79.82,Yes,Yes,Moderate,Low,Low,Good,92.1
9.34,7.81,54.79,Yes,No,Moderate,Low,Moderate,Average,46.78
24.69,5.34,72.15,Yes,No,High,Moderate,Moderate,Poor,86.43
13.07,6.03,59.51,No,Yes,Moderate,High,Low,Average,63.8
22.95,8.64,51.69,Yes,No,Moderate,Moderate,Low,Good,72.81
6.56,6.76,57.08,Yes,Yes,High,Moderate,Low,Average,51.85
18.52,8.43,61.83,Yes,Yes,Moderate,Moderate,Moderate,Good,72.7
10.58,6.82,88.67,Yes,No,Low,Low,Moderate,Good,63.57
6.51,5.84,61.44,Yes,No,Moderate,Moderate,Moderate,Average,42.66
16.31,6.64,50.93,Yes,No,Low,High,Moderate,Average,57.23
21.06,5.84,71.97,Yes,No,Low,Moderate,Low,Good,80.96
9.93,6.32,70.44,Yes,No,Low,Moderate,Low,Average,54.6
6.01,7.24,62.62,Yes,Yes,Low,Moderate,Moderate,Good,45.13
14.45,7.61,67.58,No,Yes,Moderate,High,Moderate,Average,54.33
14.48,5.09,84.64,Yes,No,Moderate,Moderate,Low,Average,59.94
18.29,6.98,80.06,Yes,Yes,Low,Moderate,Low,Poor,73.44
20.7,6.3,78.76,No,Yes,Moderate,Low,Low,Good,79.52
14.64,6.22,52.24,Yes,Yes,Moderate,Low,Moderate,Good,59.05
26.13,7.16,100.0,Yes,No,Low,Moderate,Moderate,Average,88.18
16.35,6.34,85.77,Yes,Yes,High,Moderate,Low,Average,78.11
12.92,8.66,77.76,Yes,Yes,Moderate,Low,Moderate,Average,70.37
5.33,8.43,52.54,Yes,No,Moderate,Moderate,Low,Poor,42.21
13.42,8.42,84.22,Yes,No,Moderate,Low,Moderate,Average,70.22
12.98,6.41,62.48,Yes,Yes,Moderate,Moderate,Low,Poor,57.73
20.76,5.85,67.09,Yes,No,Moderate,Low,Moderate,Average,69.99
17.77,7.1,44.79,Yes,Yes,Low,Moderate,Moderate,Average,47.45
7.92,6.82,51.38,Yes,No,Low,Low,Low,Average,49.76
16.03,6.27,76.58,Yes,No,Moderate,Moderate,High,Good,68.36
19.03,5.59,85.09,Yes,Yes,Moderate,Moderate,Moderate,Good,77.27
24.17,6.95,80.27,Yes,No,Moderate,Low,Low,Good,86.29
20.33,6.52,79.76,Yes,Yes,High,Low,Moderate,Average,82.76
19.57,7.83,69.03,Yes,No,Moderate,Moderate,High,Average,68.4
15.36,7.8,63.9,Yes,No,Moderate,Moderate,Low,Average,70.66
17.33,8.32,74.33,Yes,Yes,Moderate,Moderate,Low,Good,81.27
22.5,5.49,82.32,Yes,Yes,Moderate,Moderate,Moderate,Good,88.21
7.0,7.48,70.07,Yes,No,Moderate,Low,Moderate,Poor,44.17
12.9,6.13,88.15,Yes,Yes,Moderate,Moderate,Moderate,Average,70.28
10.36,5.54,66.77,No,Yes,Low,Moderate,Moderate,Average,40.32
17.27,6.49,55.3,Yes,Yes,Moderate,High,High,Poor,52.88
22.38,8.28,69.84,Yes,Yes,Moderate,Moderate,High,Average,69.65
11.42,6.55,71.59,Yes,Yes,Moderate,Moderate,Moderate,Good,63.77
0.66,8.88,68.77,Yes,Yes,Moderate,Moderate,Moderate,Poor,42.79
12.53,7.66,89.21,No,Yes,Moderate,Moderate,Low,Average,68.2
20.48,6.53,82.08,Yes,No,Low,High,Moderate,Poor,65.62
18.23,8.39,48.54,No,Yes,Low,Moderate,High,Average,46.52
17.57,7.53,93.02,No,Yes,Moderate,Moderate,High,Average,67.44
13.32,5.88,28.88,Yes,No,Moderate,Low,Low,Good,53.47
7.33,9.23,100.0,Yes,Yes,Moderate,Moderate,High,Good,70.75
18.09,7.31,65.69,Yes,No,Moderate,Moderate,Low,Average,66.94
9.99,7.02,67.16,Yes,Yes,Low,High,Low,Average,60.01
28.1,5.97,69.1,Yes,No,Moderate,Moderate,Low,Average,86.84
18.42,8.42,75.78,Yes,No,High,Low,Low,Average,80.61
11.52,7.62,70.0,Yes,No,Moderate,High,Low,Average,63.28
11.33,7.76,68.0,No,Yes,Moderate,Moderate,Moderate,Average,55.46
14.44,6.39,89.63,No,No,Moderate,Low,Moderate,Poor,59.67
13.56,8.0,78.48,Yes,No,Moderate,Moderate,Moderate,Average,74.18
21.7,8.09,55.62,Yes,Yes,High,Low,Moderate,Good,81.33
16.12,6.2,81.11,Yes,No,Moderate,Low,Low,Average,78.23
10.61,5.3,77.86,Yes,Yes,Moderate,Moderate,High,Good,60.18
26.34,7.7,61.82,Yes,Yes,Low,High,Low,Good,82.16
15.3,5.11,81.88,Yes,Yes,Low,Low,Moderate,Average,71.37
19.61,7.18,67.64,Yes,No,Moderate,High,Moderate,Average,71.75
11.35,6.46,66.67,No,Yes,Moderate,Moderate,Low,Average,52.76
17.18,8.46,66.27,Yes,Yes,Moderate,Moderate,Moderate,Average,66.67
16.87,6.53,33.58,Yes,No,Low,Moderate,Moderate,Good,55.93
3.66,8.33,62.1,Yes,Yes,Moderate,Moderate,Low,Average,53.01
27.09,6.38,80.7,No,No,Moderate,Low,High,Average,73.77
22.74,8.2,69.66,Yes,No,High,Moderate,Moderate,Good,81.07
12.62,9.47,50.72,Yes,Yes,Low,Moderate,Low,Average,73.77
8.39,5.72,84.47,No,Yes,Moderate,Low,Low,Good,63.9
17.09,7.35,65.52,Yes,No,Low,Moderate,High,Average,59.15
15.52,10.3,51.68,No,Yes,Moderate,Moderate,Low,Average,67.74
17.13,7.08,100.0,Yes,No,High,Moderate,High,Average,69.93
16.15,7.07,54.2,No,Yes,Moderate,Moderate,Low,Average,56.83
18.04,7.95,83.19,Yes,Yes,Moderate,Moderate,High,Average,70.57
23.68,7.05,58.46,Yes,Yes,Low,Moderate,Moderate,Average,79.19
18.41,4.95,72.04,Yes,No,Moderate,Low,Moderate,Average,56.44
8.7,8.36,56.47,Yes,No,High,Moderate,Low,Average,53.95
23.18,4.6,51.41,Yes,Yes,High,Moderate,Moderate,Average,70.81
24.84,6.5,77.83,Yes,Yes,High,Moderate,Moderate,Average,84.79
33.91,8.45,76.08,Yes,Yes,Moderate,Moderate,Moderate,Average,95.6
8.26,6.57,87.17,Yes,No,Low,Moderate,Moderate,Average,56.69
16.46,6.17,69.48,Yes,Yes,High,Low,Moderate,Average,77.71
2.51,8.06,100.0,Yes,No,High,High,Moderate,Average,69.58
18.32,5.98,74.03,Yes,No,High,Moderate,Moderate,Poor,60.58
11.71,5.53,78.5,Yes,No,Moderate,Moderate,Moderate,Good,64.32
26.54,7.33,49.62,Yes,No,Low,Moderate,High,Average,59.02
10.35,6.78,60.79,Yes,Yes,Low,Moderate,Low,Average,57.39
4.86,5.51,77.8,Yes,Yes,Moderate,Moderate,Low,Average,59.93
12.17,7.76,68.74,Yes,Yes,Low,Moderate,Low,Good,59.88
3.15,7.56,72.82,Yes,Yes,High,Low,High,Average,51.33
19.51,6.57,57.75,No,Yes,Moderate,Low,Moderate,Average,70.76
2.61,6.65,71.83,Yes,No,Low,Moderate,Low,Good,38.7
15.17,7.56,71.78,No,Yes,Low,Moderate,Moderate,Average,62.58
2.53,8.43,52.29,No,No,Moderate,Moderate,Moderate,Average,38.61
13.08,6.66,79.64,Yes,Yes,Moderate,Moderate,Moderate,Poor,62.93
24.86,7.79,44.5,Yes,No,Moderate,Low,Low,Good,70.82
17.16,7.68,72.76,Yes,Yes,Low,Low,Moderate,Good,73.14
9.82,8.06,96.48,Yes,No,Moderate,Low,High,Average,62.81
14.81,7.05,80.21,Yes,No,Low,Low,Moderate,Good,69.21
15.11,5.91,80.11,Yes,Yes,Low,Low,Low,Poor,60.73
17.84,6.45,56.54,Yes,Yes,Moderate,Moderate,High,Average,61.13
6.8,7.41,96.54,Yes,Yes,Moderate,Moderate,Moderate,Average,79.42
18.56,9.18,90.65,Yes,No,High,High,Moderate,Average,79.89
0.0,6.42,57.35,Yes,Yes,Moderate,Moderate,Moderate,Good,27.0
11.22,7.97,62.88,Yes,No,Low,Low,Moderate,Good,57.98
12.07,6.61,88.82,Yes,No,High,Moderate,Moderate,Good,71.91
18.8,7.13,96.94,Yes,No,Moderate,Low,Moderate,Average,79.8
15.14,8.82,51.03,Yes,No,Moderate,High,Moderate,Average,57.79
6.57,7.92,54.94,Yes,No,High,Moderate,Moderate,Good,55.98
9.09,5.51,67.84,Yes,No,Moderate,Low,Moderate,Average,58.82
16.19,6.31,37.43,Yes,Yes,Moderate,Moderate,Moderate,Average,51.02
14.53,8.51,70.29,Yes,Yes,Moderate,High,Low,Good,82.06
11.53,7.17,87.79,No,Yes,Moderate,Moderate,Low,Average,69.69
12.11,5.62,48.42,Yes,No,High,Low,Moderate,Average,53.73
19.18,6.02,71.91,Yes,No,Low,Moderate,Low,Good,74.21
11.89,7.84,61.27,Yes,Yes,Moderate,High,High,Good,59.23
14.47,8.19,94.6,Yes,Yes,High,High,Moderate,Average,86.63
28.02,7.02,61.45,No,Yes,Low,High,Low,Good,81.46
6.46,9.97,92.78,Yes,Yes,Low,High,Moderate,Average,72.64
3.89,7.99,61.04,Yes,Yes,Moderate,Moderate,Low,Average,57.32
19.7,6.71,81.57,Yes,Yes,Moderate,High,High,Average,75.25
10.93,6.02,73.78,Yes,Yes,High,Moderate,Low,Good,64.43
13.09,5.83,67.93,Yes,No,Low,Moderate,Moderate,Poor,52.2
10.31,7.4,58.14,Yes,No,Low,Moderate,Low,Average,59.64
13.44,6.41,74.85,Yes,No,High,Moderate,Low,Average,67.15
24.59,9.01,63.39,Yes,Yes,Low,Moderate,Moderate,Poor,76.11
19.81,8.76,59.65,Yes,Yes,Moderate,High,Moderate,Average,74.17
20.17,7.76,92.09,No,Yes,Moderate,Low,Low,Average,81.13
6.5,5.59,78.21,Yes,Yes,Low,High,High,Good,61.35
8.09,6.19,79.65,Yes,Yes,High,Moderate,Moderate,Average,66.75
0.0,8.51,64.13,Yes,Yes,Moderate,Moderate,Moderate,Average,41.01
10.14,6.32,67.21,No,Yes,Moderate,Moderate,Moderate,Average,43.32
20.74,8.35,66.27,Yes,Yes,Low,Moderate,Low,Average,78.97
18.1,7.57,75.06,Yes,Yes,Moderate,High,Moderate,Average,72.57
13.67,7.06,79.63,Yes,Yes,High,Moderate,Low,Average,76.31
14.87,6.16,69.55,Yes,No,Moderate,Moderate,High,Average,58.05
10.87,6.89,58.11,Yes,Yes,Moderate,High,High,Average,60.32
16.23,7.23,81.41,Yes,Yes,Moderate,High,Moderate,Good,78.08
19.6,8.24,70.5,No,Yes,Moderate,Low,Moderate,Average,72.5
5.3,5.94,48.39,Yes,Yes,High,Moderate,High,Average,51.93
16.8,6.68,37.97,Yes,Yes,Moderate,Moderate,Moderate,Average,62.31
20.59,7.05,74.47,Yes,Yes,Low,High,Low,Average,70.49
12.51,7.8,57.56,Yes,Yes,Low,Moderate,Low,Average,58.4
19.2,5.91,76.47,Yes,No,Moderate,Moderate,Moderate,Poor,65.3
31.89,5.42,58.37,Yes,Yes,Moderate,Low,Moderate,Average,86.82
14.37,7.81,72.0,Yes,Yes,Low,Moderate,High,Good,61.58
17.36,5.18,64.32,Yes,Yes,Low,Low,Moderate,Average,53.37
10.57,8.54,96.28,Yes,No,Moderate,Low,High,Good,70.28
16.09,6.81,84.25,Yes,Yes,Moderate,Low,Low,Poor,76.88
17.76,5.14,90.21,Yes,Yes,Moderate,Low,Moderate,Average,74.23
16.17,6.42,70.36,Yes,Yes,Moderate,High,Moderate,Good,71.86
8.88,7.45,82.34,Yes,Yes,Moderate,Low,Moderate,Average,62.22
16.24,6.36,71.37,Yes,No,High,Moderate,High,Poor,57.55
23.77,7.02,92.04,Yes,No,Moderate,Low,Moderate,Good,87.97
17.69,7.89,68.91,Yes,No,High,Moderate,Moderate,Average,71.81
20.77,6.76,49.04,Yes,Yes,Low,Moderate,Moderate,Average,66.95
13.58,5.88,40.02,Yes,No,Moderate,Low,Moderate,Poor,49.9
19.5,6.64,95.02,Yes,No,Moderate,Low,Moderate,Average,83.93
16.68,8.7,77.18,Yes,Yes,Low,Low,Low,Average,72.4
9.29,9.02,78.16,Yes,Yes,Moderate,Moderate,Low,Good,62.11
16.91,4.58,92.34,Yes,No,High,Low,High,Good,72.4
9.05,8.31,45.22,No,No,High,Low,Moderate,Average,49.82
11.2,7.3,64.62,Yes,Yes,Moderate,Moderate,Moderate,Good,67.66
16.14,8.11,66.46,No,No,Moderate,Low,Low,Average,64.21
16.78,6.34,81.13,Yes,Yes,Low,Moderate,Moderate,Average,67.14
7.86,4.88,59.61,Yes,Yes,Low,Low,High,Good,37.39
21.32,7.7,51.98,Yes,Yes,Moderate,High,High,Average,72.71
18.43,5.87,51.84,Yes,Yes,Moderate,Moderate,Moderate,Average,55.31
10.77,5.33,87.24,Yes,Yes,Moderate,Low,High,Average,64.1
5.77,5.42,58.86,Yes,Yes,Moderate,Low,Moderate,Average,42.05
14.13,7.72,61.72,Yes,Yes,Moderate,Moderate,Low,Average,60.94
12.32,7.17,79.52,Yes,Yes,Moderate,Moderate,Low,Average,77.17
15.68,7.94,59.52,Yes,No,Moderate,Moderate,Low,Good,63.4
12.82,7.8,44.43,Yes,Yes,Moderate,Low,High,Good,45.86
2.96,6.49,46.27,Yes,Yes,High,Moderate,High,Poor,43.51
12.67,6.92,69.15,Yes,Yes,High,Moderate,Low,Good,75.08
13.17,6.39,77.46,No,Yes,Moderate,Moderate,Moderate,Good,67.25
18.8,6.75,66.97,Yes,No,Low,Moderate,High,Poor,59.26
10.81,5.84,76.46,Yes,No,Moderate,Moderate,High,Average,51.91
25.07,7.47,45.81,Yes,No,Low,Moderate,Moderate,Good,68.86
3.53,8.29,46.82,Yes,Yes,Moderate,High,Moderate,Average,53.62
22.87,6.02,100.0,Yes,No,Low,Moderate,High,Average,79.68
13.65,8.54,88.49,No,Yes,High,Moderate,Low,Good,76.94
20.16,7.14,81.53,No,No,Moderate,Moderate,High,Good,79.38
15.48,7.29,60.1,Yes,Yes,Low,Moderate,Low,Average,60.65
